#;Destino;Departamento;Tipo de plan;Actividad principal;Clima;Ideal para;Nivel económico;
78;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
79;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
80;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
81;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
82;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
83;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
84;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
85;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
86;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
87;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
88;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
89;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
90;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
91;Cartagena;Bolívar;Playa;Recorrido histórico;Cálido;Niños;Medio;
92;Santa Marta;Magdalena;Playa;Parque Tayrona;Cálido;Familia;Medio;
93;San Andrés;Archipiélago;Playa;Snorkel;Cálido;Niños;Alto;
94;Medellín;Antioquia;Ciudad;Parques y museos;Templado;Familia;Bajo;
95;Guatapé;Antioquia;Naturaleza;Subir la piedra;Templado;Niños;Bajo;
96;Bogotá;Cundinamarca;Ciudad;Museos;Frío;Familia;Medio;
97;Villa de Leyva;Boyacá;Colonial;Caminatas;Frío;Niños;Medio;
98;Eje Cafetero;Quindío;Naturaleza;Fincas cafeteras;Templado;Familia;Medio;
99;Salento;Quindío;Naturaleza;Valle del Cocora;Templado;Niños;Bajo;
100;Manizales;Caldas;Ciudad;Nevado del Ruiz;Frío;Familia;Medio;
